rawdata/images (3).bmp 1 95 126 78 64
rawdata/images - 2024-10-22T021044.954.bmp 1 16 52 263 196
rawdata/images - 2024-10-22T021045.179.bmp 1 15 55 284 194
rawdata/images - 2024-10-22T021045.357.bmp 1 25 6 249 250
rawdata/images - 2024-10-22T021045.441.bmp 1 29 8 205 290
rawdata/images - 2024-10-22T021046.092.bmp 1 44 26 217 266
rawdata/images - 2024-10-22T021046.174.bmp 1 7 34 288 224
rawdata/images - 2024-10-22T021046.302.bmp 1 77 34 162 254
rawdata/images - 2024-10-22T021046.876.bmp 1 35 23 234 233
rawdata/images - 2024-10-22T021047.002.bmp 1 69 88 200 191
rawdata/images - 2024-10-22T021047.360.bmp 1 26 17 258 243
rawdata/images - 2024-10-22T021048.213.bmp 1 12 31 282 236
rawdata/images - 2024-10-22T021048.330.bmp 1 57 4 199 292
rawdata/images - 2024-10-22T021048.411.bmp 1 35 15 256 246
rawdata/images - 2024-10-22T021048.579.bmp 1 16 15 279 264
rawdata/images - 2024-10-22T021048.869.bmp 1 35 6 260 285
rawdata/images - 2024-10-22T021049.029.bmp 1 6 17 290 269
rawdata/images - 2024-10-22T021049.205.bmp 1 62 21 201 262
rawdata/images - 2024-10-22T021049.267.bmp 1 1 39 297 213
rawdata/images - 2024-10-22T021049.547.bmp 1 21 53 259 191
rawdata/images - 2024-10-22T021049.612.bmp 1 4 28 291 233
rawdata/images - 2024-10-22T021049.707.bmp 1 39 70 230 176
rawdata/images - 2024-10-22T021051.741.bmp 1 11 8 284 285
rawdata/images - 2024-10-22T021051.816.bmp 1 6 30 284 237
rawdata/images - 2024-10-22T021052.150.bmp 1 15 22 280 265
rawdata/images - 2024-10-22T021148.916.bmp 1 167 106 129 136
rawdata/images - 2024-10-22T021151.127.bmp 1 35 128 89 94
rawdata/images - 2024-10-22T021152.960.bmp 1 191 71 97 90
rawdata/images - 2024-10-22T021155.529.bmp 1 7 64 157 114
rawdata/images - 2024-10-22T021156.689.bmp 1 107 176 80 96
rawdata/images - 2024-10-22T021157.797.bmp 1 136 159 47 57
rawdata/images - 2024-10-22T021159.439.bmp 1 70 96 61 60
rawdata/images - 2024-10-22T021159.911.bmp 1 107 179 46 49
rawdata/images - 2024-10-22T021203.638.bmp 1 151 149 105 126
rawdata/images - 2024-10-22T021204.853.bmp 1 83 93 163 90
rawdata/images - 2024-10-22T021206.613.bmp 1 81 130 87 76
rawdata/images - 2024-10-22T021207.099.bmp 1 207 37 89 78
